State,age,pastMonth,drugType
ID,12+,7.17,Illicit Drugs
ID,17-Dec,9,Illicit Drugs
ID,18-25,16.34,Illicit Drugs
ID,26+,5.27,Illicit Drugs
ID,18+,6.95,Illicit Drugs
ID,12+,25.9,Tobacco
ID,17-Dec,9.25,Tobacco
ID,18-25,35.3,Tobacco
ID,26+,26.6,Tobacco
ID,18+,27.92,Tobacco
CT,12+,8.44,Marijuana
CT,17-Dec,8.72,Marijuana
CT,18-25,23.66,Marijuana
CT,26+,6.01,Marijuana
CT,18+,8.41,Marijuana
CT,12+,61.74,Alcohol
CT,17-Dec,17.63,Alcohol
CT,18-25,68.86,Alcohol
CT,26+,66.05,Alcohol
CT,18+,66.44,Alcohol
CT,12+,9.58,Illicit Drugs
CT,17-Dec,10.34,Illicit Drugs
CT,18-25,25.68,Illicit Drugs
CT,26+,6.97,Illicit Drugs
CT,18+,9.5,Illicit Drugs
CT,12+,24.69,Tobacco
CT,17-Dec,8.44,Tobacco
CT,18-25,37.7,Tobacco
CT,26+,24.64,Tobacco
CT,18+,26.42,Tobacco
ME,12+,8.38,Marijuana
ME,17-Dec,8.94,Marijuana
ME,18-25,22.66,Marijuana
ME,26+,6.29,Marijuana
ME,18+,8.32,Marijuana
ME,12+,54.04,Alcohol
ME,17-Dec,12.44,Alcohol
ME,18-25,62.82,Alcohol
ME,26+,57.18,Alcohol
ME,18+,57.88,Alcohol
ME,12+,9.95,Illicit Drugs
ME,17-Dec,10.81,Illicit Drugs
ME,18-25,24.28,Illicit Drugs
ME,26+,7.82,Illicit Drugs
ME,18+,9.87,Illicit Drugs
ME,12+,28.46,Tobacco
ME,17-Dec,10.09,Tobacco
ME,18-25,44.04,Tobacco
ME,26+,28.18,Tobacco
ME,18+,30.15,Tobacco
MD,12+,5.81,Marijuana
MD,17-Dec,7.54,Marijuana
MD,18-25,17.53,Marijuana
MD,26+,3.66,Marijuana
MD,18+,5.64,Marijuana
MD,12+,58.19,Alcohol
MD,17-Dec,14.67,Alcohol
MD,18-25,66.08,Alcohol
MD,26+,62.16,Alcohol
MD,18+,62.72,Alcohol
MD,12+,7.3,Illicit Drugs
MD,17-Dec,9.13,Illicit Drugs
MD,18-25,19.22,Illicit Drugs
MD,26+,5.1,Illicit Drugs
MD,18+,7.11,Illicit Drugs
MD,12+,23.39,Tobacco
MD,17-Dec,7.53,Tobacco
MD,18-25,36.29,Tobacco
MD,26+,23.17,Tobacco
MD,18+,25.04,Tobacco
OK,12+,6.04,Marijuana
OK,17-Dec,6.37,Marijuana
OK,18-25,14.14,Marijuana
OK,26+,4.55,Marijuana
OK,18+,6.01,Marijuana
OK,12+,46.22,Alcohol
OK,17-Dec,10.68,Alcohol
OK,18-25,56.23,Alcohol
OK,26+,49.01,Alcohol
OK,18+,50.11,Alcohol
OK,12+,8.36,Illicit Drugs
OK,17-Dec,9.24,Illicit Drugs
OK,18-25,17.6,Illicit Drugs
OK,26+,6.59,Illicit Drugs
OK,18+,8.26,Illicit Drugs
OK,12+,35.11,Tobacco
OK,17-Dec,12.33,Tobacco
OK,18-25,46.83,Tobacco
OK,26+,35.94,Tobacco
OK,18+,37.6,Tobacco
OH,12+,7.37,Marijuana
OH,17-Dec,7.53,Marijuana
OH,18-25,19.22,Marijuana
OH,26+,5.39,Marijuana
OH,18+,7.35,Marijuana
OH,12+,52.41,Alcohol
OH,17-Dec,13.62,Alcohol
OH,18-25,63.11,Alcohol
OH,26+,55.48,Alcohol
OH,18+,56.56,Alcohol
OH,12+,9.53,Illicit Drugs
OH,17-Dec,9.83,Illicit Drugs
OH,18-25,22.06,Illicit Drugs
OH,26+,7.42,Illicit Drugs
OH,18+,9.5,Illicit Drugs
OH,12+,32.2,Tobacco
OH,17-Dec,11.57,Tobacco
OH,18-25,46.18,Tobacco
OH,26+,32.46,Tobacco
OH,18+,34.41,Tobacco
UT,12+,4.41,Marijuana
UT,17-Dec,5.12,Marijuana
UT,18-25,9.83,Marijuana
UT,26+,3.04,Marijuana
UT,18+,4.31,Marijuana
UT,12+,29.61,Alcohol
UT,17-Dec,7.5,Alcohol
UT,18-25,33.42,Alcohol
UT,26+,32.52,Alcohol
UT,18+,32.69,Alcohol
UT,12+,6.01,Illicit Drugs
UT,17-Dec,6.73,Illicit Drugs
UT,18-25,13.05,Illicit Drugs
UT,26+,4.25,Illicit Drugs
UT,18+,5.91,Illicit Drugs
UT,12+,18.94,Tobacco
UT,17-Dec,6.24,Tobacco
UT,18-25,25.1,Tobacco
UT,26+,19.7,Tobacco
UT,18+,20.71,Tobacco
MO,12+,5.94,Marijuana
MO,17-Dec,7.28,Marijuana
MO,18-25,17.41,Marijuana
MO,26+,3.83,Marijuana
MO,18+,5.8,Marijuana
MO,12+,50.89,Alcohol
MO,17-Dec,12.83,Alcohol
MO,18-25,60.57,Alcohol
MO,26+,53.94,Alcohol
MO,18+,54.91,Alcohol
MO,12+,7.46,Illicit Drugs
MO,17-Dec,9.59,Illicit Drugs
MO,18-25,19.41,Illicit Drugs
MO,26+,5.17,Illicit Drugs
MO,18+,7.24,Illicit Drugs
MO,12+,31.76,Tobacco
MO,17-Dec,12.28,Tobacco
MO,18-25,44.39,Tobacco
MO,26+,32.02,Tobacco
MO,18+,33.82,Tobacco
MN,12+,6.3,Marijuana
MN,17-Dec,7.27,Marijuana
MN,18-25,17.58,Marijuana
MN,26+,4.33,Marijuana
MN,18+,6.19,Marijuana
MN,12+,58.57,Alcohol
MN,17-Dec,13.1,Alcohol
MN,18-25,64.24,Alcohol
MN,26+,63.19,Alcohol
MN,18+,63.34,Alcohol
MN,12+,8.27,Illicit Drugs
MN,17-Dec,9.4,Illicit Drugs
MN,18-25,19.18,Illicit Drugs
MN,26+,6.35,Illicit Drugs
MN,18+,8.16,Illicit Drugs
MN,12+,26.84,Tobacco
MN,17-Dec,10.56,Tobacco
MN,18-25,44.04,Tobacco
MN,26+,26.01,Tobacco
MN,18+,28.55,Tobacco
MI,12+,8.89,Marijuana
MI,17-Dec,8.89,Marijuana
MI,18-25,22.13,Marijuana
MI,26+,6.61,Marijuana
MI,18+,8.89,Marijuana
MI,12+,53.74,Alcohol
MI,17-Dec,13.35,Alcohol
MI,18-25,62.3,Alcohol
MI,26+,57.42,Alcohol
MI,18+,58.13,Alcohol
MI,12+,10.89,Illicit Drugs
MI,17-Dec,11.67,Illicit Drugs
MI,18-25,23.76,Illicit Drugs
MI,26+,8.58,Illicit Drugs
MI,18+,10.81,Illicit Drugs
MI,12+,30.77,Tobacco
MI,17-Dec,10.77,Tobacco
MI,18-25,44.3,Tobacco
MI,26+,30.99,Tobacco
MI,18+,32.95,Tobacco
RI,12+,13,Marijuana
RI,17-Dec,12.44,Marijuana
RI,18-25,30.16,Marijuana
RI,26+,9.74,Marijuana
RI,18+,13.05,Marijuana
RI,12+,63.35,Alcohol
RI,17-Dec,15.74,Alcohol
RI,18-25,73.46,Alcohol
RI,26+,66.8,Alcohol
RI,18+,67.88,Alcohol
RI,12+,15.61,Illicit Drugs
RI,17-Dec,15.16,Illicit Drugs
RI,18-25,32.88,Illicit Drugs
RI,26+,12.33,Illicit Drugs
RI,18+,15.66,Illicit Drugs
RI,12+,28.05,Tobacco
RI,17-Dec,9.97,Tobacco
RI,18-25,40.49,Tobacco
RI,26+,27.7,Tobacco
RI,18+,29.77,Tobacco
KS,12+,4.06,Marijuana
KS,17-Dec,5.47,Marijuana
KS,18-25,11.34,Marijuana
KS,26+,2.55,Marijuana
KS,18+,3.9,Marijuana
KS,12+,50.74,Alcohol
KS,17-Dec,11.69,Alcohol
KS,18-25,60.14,Alcohol
KS,26+,54.25,Alcohol
KS,18+,55.15,Alcohol
KS,12+,5.43,Illicit Drugs
KS,17-Dec,7.27,Illicit Drugs
KS,18-25,13.54,Illicit Drugs
KS,26+,3.72,Illicit Drugs
KS,18+,5.23,Illicit Drugs
KS,12+,29.6,Tobacco
KS,17-Dec,10.46,Tobacco
KS,18-25,43.8,Tobacco
KS,26+,29.58,Tobacco
KS,18+,31.76,Tobacco
MT,12+,10.45,Marijuana
MT,17-Dec,9.56,Marijuana
MT,18-25,26.51,Marijuana
MT,26+,7.94,Marijuana
MT,18+,10.54,Marijuana
MT,12+,60.2,Alcohol
MT,17-Dec,15.49,Alcohol
MT,18-25,69.06,Alcohol
MT,26+,63.79,Alcohol
MT,18+,64.53,Alcohol
MT,12+,11.54,Illicit Drugs
MT,17-Dec,11.98,Illicit Drugs
MT,18-25,28.1,Illicit Drugs
MT,26+,8.8,Illicit Drugs
MT,18+,11.5,Illicit Drugs
MT,12+,30.98,Tobacco
MT,17-Dec,15.47,Tobacco
MT,18-25,49.68,Tobacco
MT,26+,29.68,Tobacco
MT,18+,32.48,Tobacco
MS,12+,5.8,Marijuana
MS,17-Dec,6.32,Marijuana
MS,18-25,15.86,Marijuana
MS,26+,3.88,Marijuana
MS,18+,5.74,Marijuana
MS,12+,41.17,Alcohol
MS,17-Dec,13.01,Alcohol
MS,18-25,54.1,Alcohol
MS,26+,42.62,Alcohol
MS,18+,44.4,Alcohol
MS,12+,7.78,Illicit Drugs
MS,17-Dec,9.17,Illicit Drugs
MS,18-25,18.08,Illicit Drugs
MS,26+,5.7,Illicit Drugs
MS,18+,7.62,Illicit Drugs
MS,12+,35.53,Tobacco
MS,17-Dec,12.86,Tobacco
MS,18-25,46.46,Tobacco
MS,26+,36.6,Tobacco
MS,18+,38.13,Tobacco
SC,12+,7.2,Marijuana
SC,17-Dec,7.24,Marijuana
SC,18-25,19.24,Marijuana
SC,26+,5.15,Marijuana
SC,18+,7.2,Marijuana
SC,12+,50.32,Alcohol
SC,17-Dec,12.18,Alcohol
SC,18-25,60.54,Alcohol
SC,26+,53.09,Alcohol
SC,18+,54.17,Alcohol
SC,12+,8.9,Illicit Drugs
SC,17-Dec,10.16,Illicit Drugs
SC,18-25,21.31,Illicit Drugs
SC,26+,6.64,Illicit Drugs
SC,18+,8.77,Illicit Drugs
SC,12+,33.22,Tobacco
SC,17-Dec,12.18,Tobacco
SC,18-25,43.86,Tobacco
SC,26+,33.9,Tobacco
SC,18+,35.35,Tobacco
KY,12+,5.63,Marijuana
KY,17-Dec,6.06,Marijuana
KY,18-25,17.35,Marijuana
KY,26+,3.65,Marijuana
KY,18+,5.59,Marijuana
KY,12+,44.51,Alcohol
KY,17-Dec,10.88,Alcohol
KY,18-25,56.07,Alcohol
KY,26+,46.67,Alcohol
KY,18+,48,Alcohol
KY,12+,7.21,Illicit Drugs
KY,17-Dec,7.89,Illicit Drugs
KY,18-25,19.13,Illicit Drugs
KY,26+,5.16,Illicit Drugs
KY,18+,7.14,Illicit Drugs
KY,12+,38.45,Tobacco
KY,17-Dec,14.5,Tobacco
KY,18-25,54.07,Tobacco
KY,26+,38.76,Tobacco
KY,18+,40.93,Tobacco
OR,12+,12.16,Marijuana
OR,17-Dec,9.86,Marijuana
OR,18-25,25.81,Marijuana
OR,26+,10.25,Marijuana
OR,18+,12.38,Marijuana
OR,12+,59.08,Alcohol
OR,17-Dec,12.5,Alcohol
OR,18-25,61.99,Alcohol
OR,26+,63.89,Alcohol
OR,18+,63.63,Alcohol
OR,12+,13.86,Illicit Drugs
OR,17-Dec,11.73,Illicit Drugs
OR,18-25,27.79,Illicit Drugs
OR,26+,11.89,Illicit Drugs
OR,18+,14.07,Illicit Drugs
OR,12+,26.34,Tobacco
OR,17-Dec,8.91,Tobacco
OR,18-25,39.04,Tobacco
OR,26+,26.29,Tobacco
OR,18+,28.04,Tobacco
SD,12+,5.79,Marijuana
SD,17-Dec,6.44,Marijuana
SD,18-25,13.95,Marijuana
SD,26+,4.28,Marijuana
SD,18+,5.72,Marijuana
SD,12+,57.29,Alcohol
SD,17-Dec,14.13,Alcohol
SD,18-25,67.82,Alcohol
SD,26+,60.79,Alcohol
SD,18+,61.83,Alcohol
SD,12+,7.01,Illicit Drugs
SD,17-Dec,7.67,Illicit Drugs
SD,18-25,14.87,Illicit Drugs
SD,26+,5.57,Illicit Drugs
SD,18+,6.94,Illicit Drugs
SD,12+,31.76,Tobacco
SD,17-Dec,12.4,Tobacco
SD,18-25,48.23,Tobacco
SD,26+,31.29,Tobacco
SD,18+,33.8,Tobacco
